depth	min	max	median	wmean
1.5	4438	4687.4	4566.3	4567
2.5	4449.5	4696.7	4579	4579.3
3.5	4460	4709.3	4591.3	4591.7
4.5	4469.2	4723.6	4604.4	4604
5.5	4481.1	4741.6	4617.5	4616.4
6.5	4498.5	4753.4	4631.6	4629.5
7.5	4518.5	4760.2	4647.3	4643.8
8.5	4535.1	4767.8	4663.9	4658.2
9.5	4547.1	4774.6	4681.7	4672.7
10.5	4557.7	4784.7	4697.9	4687.2
11.5	4571.8	4793.7	4715.4	4701.9
12.5	4588.6	4798.2	4735.1	4716.9
13.5	4605.4	4803.6	4754.6	4732.1
14.5	4621.4	4812	4771.2	4747.3
15.5	4636.2	4827.5	4783.5	4762.2
16.5	4664.7	4842.8	4797.4	4779.9
17.5	4708.2	4859.7	4812.2	4800.8
18.5	4748	4886.7	4825	4821.7
19.5	4784.6	4920.2	4836.7	4842.6
20.5	4813	4961.9	4850.6	4863.4
21.5	4847.9	4996	4881.7	4896
22.5	4876.8	5033.3	4932.4	4940.4
23.5	4895.6	5085.5	4982.3	4985
24.5	4911	5148.9	5029.4	5029.6
25.5	4926	5221.7	5075.5	5074.2
26.5	4972.3	5265.4	5121.3	5120.8
27.5	5044.2	5281.7	5170.6	5170.6
28.5	5108.8	5307.8	5222.2	5220.1
29.5	5162.6	5355.4	5271.6	5269.3
30.5	5203	5421.2	5311.8	5318.2
31.5	5249.8	5463.5	5344.6	5356.3
32.5	5303.9	5476.4	5373.7	5383.6
33.5	5342	5494.7	5405.8	5411.3
34.5	5367.8	5523	5436.6	5439
35.5	5384.1	5557.7	5465.4	5466.5
36.5	5410.5	5581.9	5489.5	5491.5
37.5	5446.1	5589.4	5512.3	5514.5
38.5	5468.3	5600.4	5537.1	5537.4
39.5	5480.7	5620.9	5562.4	5560
40.5	5493.1	5647.4	5585.7	5582.5
41.5	5511.4	5669.7	5605.7	5603.5
42.5	5540.3	5685.9	5624.3	5623
43.5	5561.1	5715	5642.2	5642.5
44.5	5578.4	5751.4	5660.8	5662.3
45.5	5594.7	5792.4	5680.2	5681.8
46.5	5626.1	5820.5	5705.3	5706.4
47.5	5664	5835.7	5736.8	5736.7
48.5	5688.5	5853.9	5767.4	5767.1
49.5	5708.2	5878.2	5798	5797.6
50.5	5722.7	5910.7	5828.9	5828
51.5	5745.2	5936.7	5856.9	5855
52.5	5770.9	5945.9	5885	5878.7
53.5	5787.3	5962.1	5912.2	5902.5
54.5	5800.2	5988.3	5934.5	5926
55.5	5815	6028.8	5953.6	5949.5
56.5	5846.3	6058.6	5974	5972.3
57.5	5893.6	6075.7	5995.7	5994.5
58.5	5936.2	6101.1	6015.1	6016.6
59.5	5962.1	6129.6	6033.2	6038.8
60.5	5976.4	6163.4	6053.8	6061
61.5	5993.8	6186.3	6075.3	6081.8
62.5	6012.2	6196.3	6097.3	6101.2
63.5	6027.1	6208.3	6119.9	6120.7
64.5	6041	6224	6141.8	6140.3
65.5	6050.8	6249.8	6162.3	6159.7
66.5	6073.9	6271.7	6182	6179.7
67.5	6107.1	6279.7	6201.9	6200.5
68.5	6136.8	6289.3	6223.8	6221.3
69.5	6159.3	6301.4	6247.8	6242
70.5	6177.7	6318.7	6271.1	6262.5
71.5	6203.6	6335.4	6291.8	6283.1
72.5	6236.5	6348.3	6310.1	6303.7
73.5	6258.4	6366.9	6326.9	6324.3
74.5	6275.8	6390.3	6346.6	6344.7
75.5	6292.8	6418.1	6366.8	6365.3
76.5	6312.5	6438.2	6383.2	6382.4
77.5	6327.1	6453.2	6398.4	6396.1
78.5	6337.7	6473.8	6412.9	6409.6
79.5	6346.6	6496.8	6426	6422.8
80.5	6352.8	6521.7	6437.3	6436
81.5	6363.6	6542	6451.3	6450.8
82.5	6378	6559.8	6466.4	6466.9
83.5	6388.4	6585.1	6481	6482.9
84.5	6397	6616.8	6495.6	6498.6
85.5	6403.5	6649.3	6509.3	6514.2
86.5	6415.9	6672.8	6524.1	6530.2
87.5	6431.3	6684.2	6541.1	6546.3
88.5	6442.3	6700.5	6557.9	6562.1
89.5	6451.4	6721.8	6574.8	6578.1
90.5	6459.5	6747	6590.3	6594
91.5	6474.2	6765	6606.1	6609.8
92.5	6492.1	6777.4	6622.5	6626.1
93.5	6505.7	6791.9	6639	6642.4
94.5	6518.3	6807.6	6656.5	6658.8
95.5	6528.3	6825.8	6673.8	6675.1
96.5	6547.8	6844.8	6688	6690.9
97.5	6569.5	6854.6	6701.5	6705.9
98.5	6586.6	6867.7	6716.3	6720.9
99.5	6597.4	6881.8	6731.3	6736.2
