depth	min	max	median	wmean
27	-39.1	-28.5	-33.8	-33.7
32	-35	-11.8	-26	-25.1
37	-29.3	-4.1	-16.7	-16.7
42	-18.2	0.5	-6.9	-7.3
47	0.1	11.2	4.8	5.1
52	21.7	183.3	103.4	102.4
57	104.1	265.2	187.5	192.9
62	122.7	301.2	252.1	242.1
67	287.4	335.9	320.4	318.3
72	330.5	348.4	339	339.2
77	336.7	352.5	344.9	344.8
82	344.2	357.6	350.9	350.9
87	347.8	367.3	356.3	356.7
92	351.3	373	361.6	361.8
97	355.9	378.2	367.5	367.5
102	362.3	381.9	373.4	373.2
107	370	385.1	379.3	378.9
112	379.5	388.9	384.1	384.2
117	381.5	396.4	387.7	388.1
122	383.9	400.7	391.4	391.6
127	386.8	404.7	395.4	395.6
132	390.5	408.3	399.6	399.6
137	394.1	411.7	403.6	403.5
142	398.4	414.5	407.5	407.3
147	403.5	416.9	411.3	411.1
152	410.5	418.6	414.8	414.8
157	414.8	460	426	429.1
162	421.4	497.6	446.5	450
167	429.7	529	465.7	469.8
172	440.8	551.9	485.1	488.8
177	454.2	577	506.9	509.4
182	471.1	605.2	529.2	531.9
187	486.3	632.7	551.4	554.1
192	506.1	652	573.2	575.3
197	524.9	674.4	595.5	596.7
202	543.5	692.7	615	616.5
207	560	713.5	634	635.6
212	579.9	734.1	655.5	656.9
217	603.4	751.4	677.2	677.6
222	624	773.2	699.3	699.8
227	643	796.7	719.6	720.4
232	661.1	815	741	741.2
237	679.4	833.7	763.5	762.5
242	708.3	847.9	783.6	782.9
247	730.7	864.4	803.3	802.3
252	748.6	879	826.2	823
257	779.5	893	848.8	845.4
262	815	905.6	869.7	867.4
267	844.6	916.3	889.7	887.5
272	874.3	926.9	908.7	906.8
277	910.7	940	924.7	925
282	917.7	960.3	935.4	936.6
287	925.3	976.1	947.4	948.4
292	934.1	989.9	959.6	960.5
297	943.4	1000.7	971.8	972.1
302	953.7	1010.1	983.6	983.1
307	963.9	1018.8	994.8	994.1
312	978.6	1025.4	1007	1006
317	992.9	1031.4	1018.9	1017.4
322	1021.6	1035.3	1029.1	1029
327	1025.7	1038.6	1032.4	1032.4
332	1027.7	1041	1034.5	1034.5
337	1029.3	1043.2	1036.5	1036.5
342	1031.3	1045.2	1038.4	1038.4
347	1033.1	1047.2	1040.3	1040.4
352	1035.1	1049.3	1042.4	1042.4
357	1037.1	1051.2	1044.5	1044.4
362	1039.5	1052.9	1046.4	1046.5
367	1041.9	1054.7	1048.6	1048.5
372	1044.5	1056.3	1050.6	1050.6
377	1050.9	1062.4	1056.3	1056.5
